trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1290,False,"{'a': 0.1, 'e': 0.9955191913708666}",20,0,-183.56947384798184,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
1291,False,"{'a': 0.1, 'e': 0.9811055226493881}",20,0,-59.81460841537597,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
1292,False,"{'a': 0.1, 'e': 0.9568889718559658}",25,1,-73.80434325110072,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 1}",1
1293,False,"{'a': 0.1, 'e': 0.923111502761189}",25,0,-118.142379962018,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
1294,False,"{'a': 0.1, 'e': 0.8801106086709253}",20,0,-157.37071374931253,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
1295,False,"{'a': 0.1, 'e': 0.8283159403047103}",25,0,-143.0840463437531,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
1296,False,"{'a': 0.1, 'e': 0.7682450128678182}",20,0,-52.95934696377969,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
1297,False,"{'a': 0.1, 'e': 0.70049803521039}",25,0,-183.8375124230538,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",1
1298,False,"{'a': 0.1, 'e': 0.6257519127389827}",20,16,9.023854765597914,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1299,False,"{'a': 0.1, 'e': 0.54475348400159}",30,9,-17.136700494444394,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
1300,False,"{'a': 0.1, 'e': 0.4583120585236148}",25,3,-51.533868562910264,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
1301,False,"{'a': 0.1, 'e': 0.36729133045469653}",20,0,-125.96869918466741,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
1302,False,"{'a': 0.1, 'e': 0.27260074882224733}",25,10,-3.592644131833068,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
1303,False,"{'a': 0.1, 'e': 0.17518643061736572}",20,16,6.922776634624105,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1304,False,"{'a': 0.1, 'e': 0.07602170750671775}",20,11,19.94021626611193,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1305,False,"{'a': 0.1, 'e': 0.023902599375901803}",20,13,15.945589901064778,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1306,False,"{'a': 0.1, 'e': 0.12358807938670624}",20,7,-83.74307423736961,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 2}",1
1307,False,"{'a': 0.1, 'e': 0.22203870816106638}",25,5,19.937428421264787,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
1308,False,"{'a': 0.1, 'e': 0.31827079955974696}",25,11,-26.3480537712216,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1309,False,"{'a': 0.1, 'e': 0.41132283433553807}",25,4,6.975167422938107,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
1310,False,"{'a': 0.1, 'e': 0.5002650673159009}",20,12,-18.26683419050975,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
1311,False,"{'a': 0.1, 'e': 0.5842088171092893}",25,10,-98.3006041336211,"{0: 9, 1: 0, 2: 3, 3: 2, 4: 1}",1
1312,False,"{'a': 0.1, 'e': 0.6623153455158822}",30,21,-30.749505301088803,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
1313,False,"{'a': 0.1, 'e': 0.7338042379224459}",20,11,-18.293219717195022,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
1314,False,"{'a': 0.1, 'e': 0.7979612009470995}",25,0,-56.321398931199035,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
1315,False,"{'a': 0.1, 'e': 0.8541451994227945}",25,0,-122.69845263475673,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
1316,False,"{'a': 0.1, 'e': 0.9017948614087224}",20,0,-72.980757459605,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
1317,False,"{'a': 0.1, 'e': 0.9404340872332042}",25,0,-20.87262297928827,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
1318,False,"{'a': 0.1, 'e': 0.9696768065242383}",20,0,-133.832225596692,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
1319,False,"{'a': 0.1, 'e': 0.9892308356970101}",25,0,-125.2838689276217,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
1320,False,"{'a': 0.1, 'e': 0.9989007973557377}",20,0,-144.11970192098164,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
1321,False,"{'a': 0.1, 'e': 0.9985900724399912}",20,5,-30.413385952719516,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 0}",1
1322,False,"{'a': 0.1, 'e': 0.9883017656104169}",20,0,-95.78263313118096,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
1323,False,"{'a': 0.1, 'e': 0.9681386742279867}",20,3,-163.20538503117166,"{0: 5, 1: 4, 2: 5, 3: 1, 4: 2}",1
1324,False,"{'a': 0.1, 'e': 0.9383022612367735}",25,0,-100.84947542906497,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
1325,False,"{'a': 0.1, 'e': 0.899090642212774}",25,0,-103.90240820207045,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
1326,False,"{'a': 0.1, 'e': 0.8508956066916382}",20,0,-86.77771906802579,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
1327,False,"{'a': 0.1, 'e': 0.7941987035371325}",20,0,-27.014137981012873,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
1328,False,"{'a': 0.1, 'e': 0.7295664294640528}",35,0,-23.000985964229915,"{0: 28, 1: 2, 2: 5, 3: 0, 4: 0}",0
1329,False,"{'a': 0.1, 'e': 0.6576445687903848}",20,0,-28.816045258538963,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
1330,False,"{'a': 0.1, 'e': 0.5791517409737558}",20,16,5.6675633044876275,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1331,False,"{'a': 0.1, 'e': 0.4948722204034305}",20,0,-44.53341203661023,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
1332,False,"{'a': 0.1, 'e': 0.4056481001898419}",25,19,10.773660408138758,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1333,False,"{'a': 0.1, 'e': 0.3123708782485641}",20,12,15.722807834821083,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1334,False,"{'a': 0.1, 'e': 0.21597254974793714}",30,21,15.763074717461427,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1335,False,"{'a': 0.1, 'e': 0.11741629492126229}",25,16,16.218990280271566,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1336,False,"{'a': 0.1, 'e': 0.01768685528840119}",30,17,20.089545834791032,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1337,False,"{'a': 0.1, 'e': 0.08221930555600455}",20,4,-7.830526625467423,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
1338,False,"{'a': 0.1, 'e': 0.18130395827741172}",20,15,-3.6701961368434413,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
1339,False,"{'a': 0.1, 'e': 0.27857708177880347}",20,15,6.327228823315616,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1340,False,"{'a': 0.1, 'e': 0.37306675516440196}",25,7,-10.89208977939315,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
1341,False,"{'a': 0.1, 'e': 0.4638288688518717}",20,0,20.56069014063431,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
